Performance Modelling Timing File
 
PMTM Version, =, 0.2.6
Application, =, Chimaera v1.6.1
Date, =, 22-04-2010
Time, =, 20:30
#Type, ,mpi rank, ,name,  ,value,(,StDev,),  , count
Overhead,(,0,),start-stop,=,0.101522E-05,(,0.230289E-12,)
Overhead,(,0,),pause-continue,=,0.101067E-05,(,0.225527E-16,)
Parameter,: (, all, ) ,meshx, = ,        60
Parameter,: (, all, ) ,meshy, = ,        60
Parameter,: (, all, ) ,meshz, = ,        60
Parameter,: (, 0, ) ,cells per tile, = ,       120
Parameter,: (, 1, ) ,cells per tile, = ,       120
Parameter,: (, 2, ) ,cells per tile, = ,       120
Parameter,: (, 3, ) ,cells per tile, = ,       120
Parameter,: (, 4, ) ,cells per tile, = ,       120
Parameter,: (, 5, ) ,cells per tile, = ,       120
Parameter,: (, 6, ) ,cells per tile, = ,       120
Parameter,: (, 7, ) ,cells per tile, = ,       120
Parameter,: (, 8, ) ,cells per tile, = ,       120
Parameter,: (, 9, ) ,cells per tile, = ,       120
Parameter,: (, 10, ) ,cells per tile, = ,       120
Parameter,: (, 11, ) ,cells per tile, = ,       120
Parameter,: (, 12, ) ,cells per tile, = ,       120
Parameter,: (, 13, ) ,cells per tile, = ,       120
Parameter,: (, 14, ) ,cells per tile, = ,       120
Parameter,: (, 15, ) ,cells per tile, = ,       120
Parameter,: (, 16, ) ,cells per tile, = ,       105
Parameter,: (, 17, ) ,cells per tile, = ,       105
Parameter,: (, 18, ) ,cells per tile, = ,       105
Parameter,: (, 19, ) ,cells per tile, = ,       105
Parameter,: (, 20, ) ,cells per tile, = ,       105
Parameter,: (, 21, ) ,cells per tile, = ,       105
Parameter,: (, 22, ) ,cells per tile, = ,       105
Parameter,: (, 23, ) ,cells per tile, = ,       105
Parameter,: (, 24, ) ,cells per tile, = ,       105
Parameter,: (, 25, ) ,cells per tile, = ,       105
Parameter,: (, 26, ) ,cells per tile, = ,       105
Parameter,: (, 27, ) ,cells per tile, = ,       105
Parameter,: (, 28, ) ,cells per tile, = ,       105
Parameter,: (, 29, ) ,cells per tile, = ,       105
Parameter,: (, 30, ) ,cells per tile, = ,       105
Parameter,: (, 31, ) ,cells per tile, = ,       105
Timer,: ( ,0,) ,W Tile Calculation Time, = ,0.235228E-04,(,0.319431E-11,), count,       201120, paused,           0
Timer,: ( ,1,) ,W Tile Calculation Time, = ,0.240926E-04,(,0.109794E-10,), count,       201120, paused,           0
Timer,: ( ,2,) ,W Tile Calculation Time, = ,0.254859E-04,(,0.528308E-09,), count,       201120, paused,           0
Timer,: ( ,3,) ,W Tile Calculation Time, = ,0.262530E-04,(,0.331334E-10,), count,       201120, paused,           0
Timer,: ( ,4,) ,W Tile Calculation Time, = ,0.236283E-04,(,0.398474E-11,), count,       201120, paused,           0
Timer,: ( ,5,) ,W Tile Calculation Time, = ,0.244125E-04,(,0.139706E-10,), count,       201120, paused,           0
Timer,: ( ,6,) ,W Tile Calculation Time, = ,0.256593E-04,(,0.312981E-10,), count,       201120, paused,           0
Timer,: ( ,7,) ,W Tile Calculation Time, = ,0.269010E-04,(,0.480640E-10,), count,       201120, paused,           0
Timer,: ( ,8,) ,W Tile Calculation Time, = ,0.239329E-04,(,0.873471E-11,), count,       201120, paused,           0
Timer,: ( ,9,) ,W Tile Calculation Time, = ,0.245274E-04,(,0.166500E-10,), count,       201120, paused,           0
Timer,: ( ,10,) ,W Tile Calculation Time, = ,0.257821E-04,(,0.400256E-10,), count,       201120, paused,           0
Timer,: ( ,11,) ,W Tile Calculation Time, = ,0.276277E-04,(,0.570461E-10,), count,       201120, paused,           0
Timer,: ( ,12,) ,W Tile Calculation Time, = ,0.244864E-04,(,0.210491E-10,), count,       201120, paused,           0
Timer,: ( ,13,) ,W Tile Calculation Time, = ,0.249568E-04,(,0.251105E-10,), count,       201120, paused,           0
Timer,: ( ,14,) ,W Tile Calculation Time, = ,0.265292E-04,(,0.543387E-10,), count,       201120, paused,           0
Timer,: ( ,15,) ,W Tile Calculation Time, = ,0.292154E-04,(,0.922437E-10,), count,       201120, paused,           0
Timer,: ( ,16,) ,W Tile Calculation Time, = ,0.222970E-04,(,0.248235E-10,), count,       201120, paused,           0
Timer,: ( ,17,) ,W Tile Calculation Time, = ,0.226352E-04,(,0.310853E-10,), count,       201120, paused,           0
